Sp1,Sp2,diff_CNV,diff_phylo,color_cat
Amanita_muscaria,Boletus_edulis,46,20,3
Amanita_muscaria,Cenococcum_geophilum,15,24,4
Amanita_muscaria,Gyrodon_lividus,35,20,3
Amanita_muscaria,Hebeloma_cylindrosporum,147,4,3
Amanita_muscaria,Hydnum_rufescens,180,22,3
Amanita_muscaria,Laccaria_amethystina,17,4,3
Amanita_muscaria,Paxillus_adelphus,40,20,3
Amanita_muscaria,Paxillus_involutus,41,20,3
Amanita_muscaria,Piloderma_croceum,41,6,3
Amanita_muscaria,Pisolithus_microcarpus,53,20,3
Amanita_muscaria,Rhizopogon_vinicolor,50,20,3
Amanita_muscaria,Sb_117_CO,55,20,3
Amanita_muscaria,Sb_119_CO,104,20,3
Amanita_muscaria,Sb_12_CA,47,20,3
Amanita_muscaria,Sb_120_CO,52,20,3
Amanita_muscaria,Sb_121_MN,86,20,3
Amanita_muscaria,Sb_122_MN,92,20,3
Amanita_muscaria,Sb_123_MN,88,20,3
Amanita_muscaria,Sb_124_MN,55,20,3
Amanita_muscaria,Sb_125_MN,93,20,3
Amanita_muscaria,Sb_126_MN,42,20,3
Amanita_muscaria,Sb_2_CA,126,20,3
Amanita_muscaria,Sb_22_CA,86,20,3
Amanita_muscaria,Scleroderma_citrinum,39,20,3
Amanita_muscaria,Suillus_americanus,107,20,3
Amanita_muscaria,Suillus_decipiens,39,20,3
Amanita_muscaria,Suillus_granulatus,31,20,3
Amanita_muscaria,Suillus_hirtellus,12,20,3
Amanita_muscaria,Suillus_luteus,168,20,3
Amanita_muscaria,Suillus_pictus,39,20,3
Amanita_muscaria,Suillus_subaureus,14,20,3
Amanita_muscaria,Wilcoxina_mikolae,93,26,4
Boletus_edulis,Cenococcum_geophilum,61,24,4
Boletus_edulis,Gyrodon_lividus,11,6,3
Boletus_edulis,Hebeloma_cylindrosporum,101,20,3
Boletus_edulis,Hydnum_rufescens,134,22,3
Boletus_edulis,Laccaria_amethystina,29,20,3
Boletus_edulis,Paxillus_adelphus,6,6,3
Boletus_edulis,Paxillus_involutus,5,6,3
Boletus_edulis,Piloderma_croceum,5,20,3
Boletus_edulis,Pisolithus_microcarpus,7,8,3
Boletus_edulis,Rhizopogon_vinicolor,4,18,3
Boletus_edulis,Sb_117_CO,9,18,3
