OTU_ID,Lotus200,Lotus201,Lotus202,Lotus204,MockLabS3,NegContDNA1S79,NegContDNA2S80,NegContPCRS1,taxonomy
OTU_10,5933,622,2792,733,3972,0,0,0,Amanita_muscaria
OTU_5,2408,5963,3042,6606,0,0,22,0,Wilcoxina_mikolae
OTU_67,1812,8,1221,99,162,0,0,72,Suillus_granulatus
OTU_60,1810,5,1641,51,212,0,0,0,Suillus_luteus
OTU_100,1797,1,494,26,0,0,0,0,Suillus_hirtellus
OTU_47,1670,32,3188,239,0,0,0,0,Suillus_decipiens
OTU_90,1647,1,783,3,0,0,0,0,Suillus_brevipes
OTU_4,1116,10343,2930,9331,0,0,0,0,Hebeloma_cylindrosporum
OTU_31,1096,1555,3171,1249,0,0,0,0,Scleroderma_citrinum
OTU_22,962,3219,2507,3560,0,0,0,0,Piloderma_croceum
OTU_8,591,5279,2659,6891,115,0,39,0,Laccaria_amethystina
OTU_11,454,2182,1122,2543,7447,0,0,0,Paxillus_involutus
OTU_341,51,0,33,0,0,0,0,0,Candida_sake|KC922122|SH175136.07FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_sake
OTU_43,15,0,9,2,0,0,34,0,Suillus_flavidus|UDB011444|SH176744.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__Suillus_flavidus
OTU_2804,14,0,0,0,0,0,0,0,Candida_sake|KC922122|SH175136.07FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_sake
OTU_2350,9,0,2,2,0,0,0,0,Suillus_subaureus|L54109|SH079593.07FU|refs_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__Suillus_subaureus
OTU_1457,6,0,11,0,0,0,0,0,Agaricomycetes_sp|HQ331023|SH185164.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp
OTU_2387,4,0,0,0,0,0,0,0,Periconia_macrospinosa|JX868735|SH204049.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Periconia;s__Periconia_macrospinosa
OTU_5315,4,0,0,0,0,0,0,0,Trametes_hirsuta|UDB015395|SH185073.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__Trametes_hirsuta
OTU_1231,2,0,1,0,0,0,0,0,Suillus_grevillei|UDB018839|SH176747.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__Suillus_grevillei
OTU_270,1,0,0,0,0,0,0,0,Debaryomyces_prosopidis|JN942657|SH190089.07FU|refs|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Debaryomyces;s__Debaryomyces_prosopidis
OTU_326,1,0,0,0,0,0,0,0,Ramariopsis_flavescens|HQ222031|SH198610.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Ramariopsis;s__Ramariopsis_flavescens
OTU_1,0,0,0,0,0,0,1,0,Aspergillus_insuetus|EF652457|SH451459.07FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_insuetus
OTU_2,0,0,0,0,0,0,0,0,Geminibasidium_sp|AB520604|SH208306.07FU|reps|k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium;s__Geminibasidium_sp
OTU_3,0,0,1,1,1,0,0,0,Leptosphaeria_sp|GU327433|SH183898.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria_sp
OTU_6,0,0,0,0,0,0,0,0,Phoma_minor|GU237831|SH245139.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Phoma;s__Phoma_minor
OTU_9,0,0,0,0,0,0,0,0,Phoma_sp|AF502832|SH201322.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Phoma;s__Phoma_sp
OTU_12,0,0,0,0,0,0,0,0,Pleosporales_sp|KU158164|SH525240.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp
OTU_13,0,0,0,0,0,0,1,0,Preussia_terricola|EU520637|SH215534.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_terricola
OTU_14,0,0,0,0,0,0,0,0,Penicillium_citrinum|AF033422|SH190215.07FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__Penicillium_citrinum
OTU_15,0,0,0,0,0,0,0,0,Geminibasidium_sp|HM240166|SH208301.07FU|reps|k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium;s__Geminibasidium_sp
